id,type,dc\.identifier,definition,inScheme,notation,note,prefLabel,topConceptOf,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringstype/geroerd,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringstype.geroerd,"Monstername waarbij de oorspronkelijke structuur en gelaagdheid van het materiaal niet bewaard wordt. Het resulterende monster laat het niet toe een gedetailleerde beschrijving of bepaalde analyses met betrekking tot de structuur of gelaagdheid  (bv. Bulkdensiteit, volumemassa, grondmechanische proeven, ....) uit te voeren.",https://data.omgeving.vlaanderen.be/id/conceptscheme/bemonsteringstype,geroerd,"Monstername waarbij de oorspronkelijke structuur en gelaagdheid van het materiaal niet bewaard wordt. Het resulterende monster laat het niet toe een gedetailleerde beschrijving of bepaalde analyses met betrekking tot de structuur of gelaagdheid  (bv. Bulkdensiteit, volumemassa, grondmechanische proeven, ....) uit te voeren.",Geroerd,https://data.omgeving.vlaanderen.be/id/conceptscheme/bemonsteringstype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringstype/ongeroerd,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringstype.ongeroerd,Monstername waarbij de oorspronkelijke structuur en gelaagdheid van het materiaal maximaal bewaard wordt.,https://data.omgeving.vlaanderen.be/id/conceptscheme/bemonsteringstype,ongeroerd,Monstername waarbij de oorspronkelijke structuur en gelaagdheid van het materiaal maximaal bewaard wordt.,Ongeroerd,https://data.omgeving.vlaanderen.be/id/conceptscheme/bemonsteringstype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringstype/vloeistof,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringstype.vloeistof,"Het monster bestaat uit een van nature vloeibare stof (een stof die gemakkelijk vormveranderingen ondergaat, samendrukbaar is, maar zich verzet tegen deze volumeverandering). Het begrip gelaagdheid is niet relevant voor het karakteriseren van het materiaal waaruit het monster is genomen.",https://data.omgeving.vlaanderen.be/id/conceptscheme/bemonsteringstype,vloeistof,"Het monster bestaat uit een van nature vloeibare stof (een stof die gemakkelijk vormveranderingen ondergaat, samendrukbaar is, maar zich verzet tegen deze volumeverandering). Het begrip gelaagdheid is niet relevant voor het karakteriseren van het materiaal waaruit het monster is genomen.",Vloeistof,https://data.omgeving.vlaanderen.be/id/conceptscheme/bemonsteringstype,null
https://data.omgeving.vlaanderen.be/id/conceptscheme/bemonsteringstype,http://www.w3.org/2004/02/skos/core#ConceptScheme,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.bemonsteringstype,Aard van de Bemonstering.,null,bemonsteringstype,Aard van de Bemonstering.,Codelijst bemonsteringstype.,null,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringstype/geroerd|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringstype/ongeroerd|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringstype/vloeistof
