"uri","dc.identifier","collections","notation","prefLabel","altLabel","broader","broaderTransitive","broadMatch","changeNote","closeMatch","definition","editorialNote","exactMatch","example","hiddenLabel","historyNote","inScheme","mappingRelation","note","related","relatedMatch","scopeNote","semanticRelation","topConceptOf"
"conceptscheme:bemonsteringstype","be.vlaanderen.bodemenondergrond.data.id.conceptscheme.bemonsteringstype",,"bemonsteringstype","Codelijst bemonsteringstype.",,,,,,,"Aard van de Bemonstering.",,,,,,,,,,,,,
"concept:geroerd","be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringstype.geroerd",,"geroerd","Geroerd",,,,,,,"Monstername waarbij de oorspronkelijke structuur en gelaagdheid van het materiaal niet bewaard wordt. Het resulterende monster laat het niet toe een gedetailleerde beschrijving of bepaalde analyses met betrekking tot de structuur of gelaagdheid  (bv. Bulkdensiteit, volumemassa, grondmechanische proeven, ....) uit te voeren.",,,,,,"conceptscheme:bemonsteringstype",,,,,,,"conceptscheme:bemonsteringstype"
"concept:ongeroerd","be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringstype.ongeroerd",,"ongeroerd","Ongeroerd",,,,,,,"Monstername waarbij de oorspronkelijke structuur en gelaagdheid van het materiaal maximaal bewaard wordt.",,,,,,"conceptscheme:bemonsteringstype",,,,,,,"conceptscheme:bemonsteringstype"
"concept:vloeistof","be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringstype.vloeistof",,"vloeistof","Vloeistof",,,,,,,"Het monster bestaat uit een van nature vloeibare stof (een stof die gemakkelijk vormveranderingen ondergaat, samendrukbaar is, maar zich verzet tegen deze volumeverandering). Het begrip gelaagdheid is niet relevant voor het karakteriseren van het materiaal waaruit het monster is genomen.",,,,,,"conceptscheme:bemonsteringstype",,,,,,,"conceptscheme:bemonsteringstype"
